Mes;Día;Hora;coeficientes
1;31;18;0,000149687559
1;31;19;0,000165172479
1;31;20;0,000180137522
1;31;21;0,000190497936
1;31;22;0,000194434150
1;31;23;0,000178726426
1;31;24;0,000154069383
2;1;1;0,000121180948
2;1;2;0,000102220895
2;1;3;0,000089490088
2;1;4;0,000082443892
2;1;5;0,000079448408
2;1;6;0,000079686685
2;1;7;0,000083601238
2;1;8;0,000092417493
2;1;9;0,000107565111
2;1;10;0,000133877716
2;1;11;0,000148991295
2;1;12;0,000151033670
2;1;13;0,000150523076
2;1;14;0,000157875628
2;1;15;0,000158318143
2;1;16;0,000144021514
2;1;17;0,000133299043
2;1;18;0,000129452569
2;1;19;0,000136737042
2;1;20;0,000155935372
2;1;21;0,000168223664
2;1;22;0,000173057286
2;1;23;0,000159645687
2;1;24;0,000139664447
2;2;1;0,000121487304
2;2;2;0,000103208043
2;2;3;0,000090204919
2;2;4;0,000082852367
2;2;5;0,000079380329
2;2;6;0,000079039933
2;2;7;0,000081422704
2;2;8;0,000086766920
2;2;9;0,000097012838
2;2;10;0,000123461601
2;2;11;0,000144089593
2;2;12;0,000150420958
2;2;13;0,000150727314
2;2;14;0,000157092718
2;2;15;0,000156514045
2;2;16;0,000140277159
2;2;17;0,000130065282
2;2;18;0,000127954827
2;2;19;0,000139868684
2;2;20;0,000166930160
2;2;21;0,000184698827
2;2;22;0,000185345579
2;2;23;0,000162505013
2;2;24;0,000133571360
2;3;1;0,000110186160
2;3;2;0,000092281334
2;3;3;0,000082307734
2;3;4;0,000077474112
2;3;5;0,000075908290
2;3;6;0,000078869735
2;3;7;0,000091396305
2;3;8;0,000116143088
2;3;9;0,000125129541
2;3;10;0,000130643955
2;3;11;0,000135069102
2;3;12;0,000134422349
2;3;13;0,000135852012
2;3;14;0,000143885356
2;3;15;0,000146744682
2;3;16;0,000138268823
2;3;17;0,000130609915
2;3;18;0,000130575875
2;3;19;0,000141502584
2;3;20;0,000170504317
2;3;21;0,000190281320
2;3;22;0,000191745022
2;3;23;0,000168223664
2;3;24;0,000136566844
2;4;1;0,000112909327
2;4;2;0,000094051393
2;4;3;0,000083623931
2;4;4;0,000078529339
2;4;5;0,000076963518
2;4;6;0,000080027081
2;4;7;0,000093313869
2;4;8;0,000119910137
2;4;9;0,000128113678
2;4;10;0,000131041083
2;4;11;0,000134252151
2;4;12;0,000133060766
2;4;13;0,000134501775
2;4;14;0,000142081258
2;4;15;0,000145326365
2;4;16;0,000137644764
2;4;17;0,000130519143
2;4;18;0,000130746073
2;4;19;0,000142625891
2;4;20;0,000170890099
2;4;21;0,000189929578
2;4;22;0,000191018845
2;4;23;0,000168575407
2;4;24;0,000137372447
2;5;1;0,000112909327
2;5;2;0,000094051393
2;5;3;0,000083623931
2;5;4;0,000078529339
2;5;5;0,000076963518
2;5;6;0,000080027081
2;5;7;0,000093313869
2;5;8;0,000119910137
2;5;9;0,000128113678
2;5;10;0,000131041083
2;5;11;0,000134252151
2;5;12;0,000133060766
2;5;13;0,000134501775
2;5;14;0,000142081258
2;5;15;0,000145326365
2;5;16;0,000137644764
2;5;17;0,000130519143
2;5;18;0,000130746073
2;5;19;0,000142625891
2;5;20;0,000170890099
2;5;21;0,000189929578
2;5;22;0,000191018845
2;5;23;0,000168575407
2;5;24;0,000137372447
2;6;1;0,000112909327
